customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,29.850000381469727,29.850000381469727,0
5575-GNVDE,1,0,0,0,34,1,0,0,1,0,1,0,0,0,1,0,3,56.95000076293945,1889.5,0
3668-QPYBK,1,0,0,0,2,1,0,0,1,1,0,0,0,0,0,1,3,53.849998474121094,108.1500015258789,1
7795-CFOCW,1,0,0,0,45,0,0,0,1,0,1,1,0,0,1,0,0,42.29999923706055,1840.75,0
9237-HQITU,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,70.69999694824219,151.64999389648438,1
9305-CDSKC,0,0,0,0,8,1,1,1,0,0,1,0,1,1,0,1,2,99.6500015258789,820.5,1
1452-KIOVK,1,0,0,1,22,1,1,1,0,1,0,0,1,0,0,1,1,89.0999984741211,1949.4000244140625,0
6713-OKOMC,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,3,29.75,301.8999938964844,0
7892-POOKP,0,0,1,0,28,1,1,1,0,0,1,1,1,1,0,1,2,104.80000305175781,3046.050048828125,1
6388-TABGU,1,0,0,1,62,1,0,0,1,1,0,0,0,0,1,0,0,56.150001525878906,3487.949951171875,0
9763-GRSKD,1,0,1,1,13,1,0,0,1,0,0,0,0,0,0,1,3,49.95000076293945,587.4500122070312,0
7469-LKBCI,1,0,0,0,16,1,0,2,0,0,0,0,0,1,2,0,1,18.950000762939453,326.79998779296875,0
8091-TTVAX,1,0,1,0,58,1,1,1,0,0,1,0,1,1,1,0,1,100.3499984741211,5681.10009765625,0
0280-XJGEX,1,0,0,0,49,1,1,1,0,1,1,0,1,1,0,1,0,103.69999694824219,5036.2998046875,1
5129-JLPIS,1,0,0,0,25,1,0,1,1,0,1,1,1,1,0,1,2,105.5,2686.050048828125,0
3655-SNQYZ,0,0,1,1,69,1,1,1,1,1,1,1,1,1,2,0,1,113.25,7895.14990234375,0
8191-XWSZG,0,0,0,0,52,1,0,2,0,0,0,0,0,1,1,0,3,20.649999618530273,1022.9500122070312,0
9959-WOFKT,1,0,0,1,71,1,1,1,1,0,1,0,1,1,2,0,0,106.69999694824219,7382.25,0
4190-MFLUW,0,0,1,1,10,1,0,0,0,0,1,1,0,0,0,0,1,55.20000076293945,528.3499755859375,1
4183-MYFRB,0,0,0,0,21,1,0,1,0,1,1,0,0,1,0,1,2,90.05000305175781,1862.9000244140625,0
8779-QRDMV,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,2,39.650001525878906,39.650001525878906,1
1680-VDCWW,1,0,1,0,12,1,0,2,0,0,0,0,0,1,1,0,0,19.799999237060547,202.25,0
1066-JKSGK,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,3,20.149999618530273,20.149999618530273,1
3638-WEABW,0,0,1,0,58,1,1,0,0,1,0,1,0,0,2,1,1,59.900001525878906,3505.10009765625,0
6322-HRPFA,1,0,1,1,49,1,0,0,1,1,0,1,0,0,0,0,1,59.599998474121094,2970.300048828125,0
6865-JZNKO,0,0,0,0,30,1,0,0,1,1,0,0,0,0,0,1,0,55.29999923706055,1530.5999755859375,0
6467-CHFZW,1,0,1,1,47,1,1,1,0,1,0,0,1,1,0,1,2,99.3499984741211,4749.14990234375,1
8665-UTDHZ,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2,30.200000762939453,30.200000762939453,1
5248-YGIJN,1,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,1,90.25,6369.4501953125,0
8773-HHUOZ,0,0,0,1,17,1,0,0,0,0,0,0,1,1,0,1,3,64.69999694824219,1093.0999755859375,1
3841-NFECX,0,1,1,0,71,1,1,1,1,1,1,1,0,0,2,1,1,96.3499984741211,6766.9501953125,0
4929-XIHVW,1,1,1,0,2,1,0,1,0,0,1,0,1,1,0,1,1,95.5,181.64999389648438,0
6827-IEAUQ,0,0,1,1,27,1,0,0,1,1,1,1,0,0,1,0,3,66.1500015258789,1874.449951171875,0
7310-EGVHZ,1,0,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,20.200000762939453,20.200000762939453,0
